video_id,lane,feature,value,z_score,mean,std
Speed_finals_Zilina_2025_race001_poses,right,post_avg_body_lean,-60.54003215858785,-3.131054354463869,3.0694508703597525,20.315675113803465
Speed_finals_Zilina_2025_race010_poses,left,post_avg_body_lean,100.2905611721185,4.785522004912451,3.0694508703597525,20.315675113803465
Speed_finals_Zilina_2025_race036_poses,right,post_avg_body_lean,72.69029410163587,3.4269519886135758,3.0694508703597525,20.315675113803465
Speed_finals_Zilina_2025_race038_poses,right,post_avg_body_lean,115.09600761896652,5.514291605918153,3.0694508703597525,20.315675113803465
Speed_finals_Zilina_2025_race042_poses,right,post_avg_body_lean,176.37200451960993,8.530484597654347,3.0694508703597525,20.315675113803465
Speed_finals_Zilina_2025_race047_poses,left,post_avg_body_lean,-60.47210712739377,-3.127710875558365,3.0694508703597525,20.315675113803465
Speed_finals_Zilina_2025_race048_poses,left,post_avg_body_lean,-66.72666765378217,-3.4355795775016618,3.0694508703597525,20.315675113803465
Speed_finals_Zilina_2025_race050_poses,right,post_avg_body_lean,119.04460384903948,5.708653654334161,3.0694508703597525,20.315675113803465
Speed_finals_Zilina_2025_race051_poses,left,post_avg_body_lean,-59.61897028003021,-3.0857168565270263,3.0694508703597525,20.315675113803465
Speed_finals_Zilina_2025_race061_poses,left,post_avg_body_lean,-63.2052406203392,-3.2622441104932163,3.0694508703597525,20.315675113803465
Speed_finals_Innsbruck_2024_race030_poses,left,post_avg_elbow_angle,174.80940621171217,3.292444282647121,119.6066211486982,16.7665054664588
Speed_finals_Zilina_2025_race004_poses,left,post_avg_elbow_angle,50.41858384129688,-4.126562773966894,119.6066211486982,16.7665054664588
Speed_finals_Zilina_2025_race024_poses,left,post_avg_elbow_angle,37.41910888684016,-4.901886825866798,119.6066211486982,16.7665054664588
Speed_finals_Zilina_2025_race041_poses,right,post_avg_elbow_angle,66.68963449197824,-3.1561130470854395,119.6066211486982,16.7665054664588
Speed_finals_Zilina_2025_race044_poses,right,post_avg_elbow_angle,56.92139650401158,-3.738717335588366,119.6066211486982,16.7665054664588
